Team,f_3yr_avg,off_f_3yr_avg,def_f_3yr_avg,st_f_3yr_avg,s_p_3yr_avg,fei_3yr_avg,f_yr3,off_f_yr3,def_f_yr3,st_f_yr3,s_p_yr3,fei_yr3,f2014,rnk_2013,rnk_2014,stDev,odds_0728
Houston,0.054666667,0.036666667,0.022,-0.004,216.6333333,0.047333333,0.068,-0.023,0.079,0.011,212.9,0.094,0.084299928,46,38,0.31026561,10000
Texas,0.141,0.032333333,0.091,0.018,220.3,0.124666667,0.12,0.041,0.061,0.018,213.5,0.087,0.081848564,35,39,0.845812382,8500
Florida,0.166,-0.008666667,0.141666667,0.033,231.7333333,0.12,0.061,-0.089,0.129,0.022,213.5,0.042,0.076171161,48,40,1.000893493,4000
Mississippi State,0.056333333,-0.013,0.069,0.000333333,217.8333333,0.044666667,0.126,0.029,0.121,-0.024,230,0.1,0.07061409,33,41,0.320604351,12000
Utah,0.037666667,-0.045666667,0.068666667,0.015333333,206.8,0.047333333,0.139,0.051,0.073,0.015,219.5,0.114,0.066485864,31,42,0.204810455,100000
North Carolina,0.076,0.061333333,0.013333333,0.001333333,213.8333333,0.061,0.101,0.068,0.023,0.01,221.8,0.067,0.064021244,38,43,0.442601492,10000
Oregon State,0.056666667,0.025333333,0.028666667,0.002666667,212.7333333,0.057333333,0.085,0.065,0.023,-0.003,213.3,0.087,0.051827108,41,44,0.322672099,100000
Bowling Green,-0.019666667,-0.014,-0.012666667,0.007,208.1666667,-0.020666667,0.064,0.059,-0.025,0.03,224.7,0.071,0.049064053,47,45,-0.150842228,10000
Toledo,0.035666667,0.037666667,-0.020666667,0.018666667,213.0333333,0.036333333,-0.002,0.026,-0.065,0.037,211.1,0,0.045644859,62,46,0.192403966,10000
Duke,-0.024666667,0.039333333,-0.077666667,0.013666667,197.9333333,-0.013333333,0.085,0.075,-0.002,0.012,216.1,0.097,0.043738245,42,47,-0.18185845,100000
