Tm,Yr,1D,2sh,2mid,2lng,2D,3sh,3mid,3lng,3D,all
NYJ,2005,-0.206,-0.018,-0.356,-0.091,-0.174,-0.141,-0.193,-0.357,-0.216,-0.198
NYG,2005,0.231,0.04,-0.226,0.028,-0.057,0.192,-0.142,0.358,0.115,0.102
NO,2005,-0.074,-0.371,-0.079,-0.002,-0.084,-0.26,-0.503,0.043,-0.271,-0.12
NE,2005,0.151,0.161,0.021,0.274,0.175,0.324,-0.176,0.696,0.225,0.175
MIN,2005,-0.236,-0.171,0.175,-0.137,-0.044,-0.137,-0.306,0.25,-0.072,-0.139
MIA,2005,-0.012,0.006,-0.134,-0.106,-0.099,-0.256,-0.069,-0.096,-0.142,-0.073
KC,2005,0.304,0.042,0.346,0.103,0.175,0.088,0.43,0.029,0.199,0.237
JAC,2005,-0.055,-0.258,0.018,0.073,0.012,0.089,0.12,0.913,0.328,0.056
IND,2005,0.224,0.101,0.266,0.293,0.231,-0.087,0.539,0.779,0.313,0.245
HOU,2005,-0.192,-0.36,0.158,0.124,0.06,-0.286,-0.32,-0.822,-0.415,-0.154
GB,2005,-0.005,0.096,-0.312,-0.161,-0.158,0.16,0.115,-0.028,0.09,-0.039
DET,2005,-0.237,-0.142,0.205,-0.486,-0.203,-0.156,-0.21,0.413,-0.024,-0.171
DEN,2005,0.346,0.166,0.212,0.286,0.237,0.113,0.328,0.084,0.173,0.269
DAL,2005,-0.115,-0.097,0.178,0.129,0.099,0.038,-0.062,0.674,0.179,0.025
CLE,2005,-0.074,-0.025,-0.029,-0.123,-0.073,-0.129,-0.276,-0.428,-0.254,-0.117
CIN,2005,0.181,0.488,0.147,0.309,0.29,0.063,0.279,0.325,0.223,0.229
CHI,2005,-0.119,0.246,-0.229,-0.195,-0.142,-0.474,-0.008,-0.459,-0.302,-0.171
CAR,2005,-0.041,-0.146,-0.017,-0.009,-0.038,0.311,0.153,-0.04,0.159,0.006
BUF,2005,-0.191,0.03,-0.206,-0.052,-0.08,-0.337,0.039,-0.69,-0.308,-0.18
BAL,2005,-0.104,-0.005,-0.278,-0.419,-0.314,0.213,0.337,-0.147,0.153,-0.117
ATL,2005,0.066,-0.239,-0.14,0.058,-0.05,-0.081,0.368,-0.022,0.093,0.033
ARI,2005,-0.128,-0.314,-0.218,0.151,-0.051,-0.14,0.059,-0.208,-0.099,-0.095
WAS,2004,-0.231,-0.307,0.025,0.06,-0.015,-0.275,-0.408,-0.526,-0.388,-0.186
TEN,2004,0.02,-0.05,-0.258,0.377,0.074,-0.025,-0.457,-0.428,-0.284,-0.032
TB,2004,0.017,0.015,-0.245,-0.157,-0.167,-0.255,0.407,-0.737,-0.085,-0.071
STL,2004,-0.042,-0.321,-0.171,-0.018,-0.128,0.064,0.179,0.023,0.093,-0.041
SF,2004,-0.146,-0.156,-0.438,-0.285,-0.309,-0.225,-0.181,-0.144,-0.188,-0.212
SEA,2004,0.106,0.122,0.056,0.155,0.116,0.058,-0.37,-0.548,-0.272,0.028
SD,2004,0.024,0.243,0.015,0.267,0.187,0.357,0.672,0.208,0.422,0.167
PIT,2004,0.113,0.193,0.189,-0.07,0.077,0.432,0.458,0.201,0.394,0.163
PHI,2004,0.071,0.375,0.45,0.099,0.267,0.085,-0.063,0.342,0.106,0.147
OAK,2004,0.162,0.092,0.089,-0.533,-0.193,0.252,-0.186,-0.209,-0.03,-0.005
NYJ,2004,0.308,0.286,0.173,-0.063,0.102,0.329,0.074,0.147,0.185,0.208
NYG,2004,-0.046,0.28,-0.105,-0.091,-0.001,-0.35,-0.4,-0.621,-0.44,-0.112
NO,2004,-0.119,-0.29,0.107,-0.139,-0.088,-0.24,0.096,-0.546,-0.208,-0.128
NE,2004,0.088,0.338,0.193,0.32,0.274,0.212,0.239,1.14,0.477,0.233
MIN,2004,0.02,-0.037,0.158,0.198,0.114,0.324,0.308,1.604,0.605,0.173
MIA,2004,-0.317,-0.201,-0.23,-0.347,-0.296,-0.223,-0.115,-0.412,-0.248,-0.295
KC,2004,0.24,0.195,0.267,0.317,0.273,0.772,0.192,1.03,0.6,0.316
JAC,2004,-0.137,-0.143,-0.11,-0.019,-0.072,-0.016,-0.199,1.13,0.202,-0.035
IND,2004,0.294,0.091,0.251,0.737,0.405,0.013,0.328,0.308,0.204,0.318
HOU,2004,-0.014,0.197,-0.33,-0.02,-0.077,-0.113,0.101,0.261,0.063,-0.018
GB,2004,0.088,0.156,0.086,0.167,0.133,0.162,0.143,1.163,0.403,0.171
DET,2004,-0.072,-0.417,-0.026,-0.021,-0.106,-0.046,0.011,-0.393,-0.147,-0.101
DEN,2004,0.129,-0.022,-0.091,0.416,0.146,0.106,-0.167,0.686,0.142,0.138
DAL,2004,-0.086,-0.353,0.271,0.029,0.054,-0.267,-0.459,0.451,-0.119,-0.046
CLE,2004,-0.117,0.007,-0.255,-0.297,-0.23,-0.242,0.111,-0.064,-0.047,-0.142
CIN,2004,-0.021,-0.035,0.16,-0.094,0.008,0.17,0.364,-0.011,0.192,0.037
CHI,2004,-0.314,-0.18,-0.08,-0.366,-0.237,-0.255,-0.3,-1.413,-0.654,-0.365
CAR,2004,-0.066,-0.055,0.216,0.165,0.141,-0.281,-0.009,-0.009,-0.094,0
BUF,2004,-0.027,-0.487,-0.13,-0.011,-0.122,0.006,-0.095,0.069,-0.022,-0.059
BAL,2004,0.032,0.204,0.14,-0.258,-0.054,-0.344,-0.068,0.258,-0.066,-0.021
ATL,2004,0.026,-0.131,-0.317,-0.144,-0.197,0.024,-0.006,-0.911,-0.203,-0.105
ARI,2004,-0.111,-0.084,-0.335,-0.287,-0.264,-0.546,-0.17,-0.707,-0.418,-0.237
WAS,2003,-0.056,-0.026,-0.028,-0.063,-0.044,-0.154,-0.038,-0.174,-0.122,-0.067
TEN,2003,0.045,0.305,0.035,0.135,0.137,0.294,0.347,0.906,0.503,0.174
TB,2003,0.047,-0.214,0.111,0.041,0.02,-0.166,-0.326,0.122,-0.162,-0.01
STL,2003,-0.114,-0.212,0.019,-0.357,-0.217,-0.069,0.344,0.394,0.228,-0.075
SF,2003,0.072,-0.222,0.2,-0.089,-0.012,-0.038,0.693,-0.125,0.244,0.078
SEA,2003,0.132,0.158,-0.086,0.012,0.013,0.314,0.173,1.18,0.498,0.162
SD,2003,-0.021,-0.034,0.354,0.337,0.284,-0.131,0.056,-0.609,-0.2,0.041
PIT,2003,-0.004,0.077,-0.146,-0.161,-0.116,-0.297,-0.099,0.281,-0.087,-0.063
PHI,2003,0.135,0.136,0.432,0.212,0.261,-0.031,0.336,-0.02,0.1,0.171
OAK,2003,0.023,-0.037,-0.045,-0.403,-0.227,0.008,0.075,-0.395,-0.084,-0.091
NYJ,2003,0.197,-0.004,-0.041,0.054,0.014,0.248,-0.1,0.394,0.138,0.12
NYG,2003,-0.06,-0.177,-0.041,-0.131,-0.106,-0.052,-0.268,-0.408,-0.238,-0.113
NO,2003,0.077,-0.194,-0.304,-0.062,-0.16,0.171,0.281,0.076,0.194,0.027
NE,2003,0.097,0.199,-0.126,-0.204,-0.111,0.118,-0.164,0.287,0.041,0.012
MIN,2003,0.065,0.181,0.014,0.255,0.159,0.347,-0.008,0.565,0.242,0.138
MIA,2003,-0.092,0.08,0.18,0.033,0.089,0.161,-0.51,-0.22,-0.191,-0.046
KC,2003,0.347,0.197,0.102,0.538,0.298,0.431,0.462,0.108,0.365,0.334
JAC,2003,0.004,0.293,0.107,-0.176,0.004,-0.254,-0.042,0.583,0.03,0.01
IND,2003,0.3,-0.054,-0.051,0.264,0.083,-0.006,0.359,-0.182,0.096,0.176
HOU,2003,-0.202,-0.304,-0.156,-0.036,-0.113,-0.037,-0.359,0.191,-0.094,-0.147
GB,2003,0.17,0.078,-0.107,0.266,0.09,0.289,0.001,-0.284,0.036,0.114
DET,2003,-0.132,-0.521,-0.506,-0.14,-0.301,-0.097,-0.409,-0.205,-0.241,-0.217
DEN,2003,0.013,0.228,0.398,0.248,0.296,-0.098,0.091,-0.322,-0.067,0.094
DAL,2003,-0.165,-0.082,0.044,-0.05,-0.026,0.165,-0.303,0.291,0.043,-0.068
CLE,2003,-0.13,-0.387,-0.115,0.026,-0.109,-0.085,0.185,0.093,0.038,-0.084
CIN,2003,-0.043,0.416,0.112,0.183,0.196,-0.018,0.37,-0.039,0.134,0.083
CHI,2003,-0.129,-0.009,-0.351,-0.021,-0.122,0.133,-0.395,-0.945,-0.29,-0.168
CAR,2003,0.024,-0.111,-0.047,-0.079,-0.076,-0.251,-0.146,-0.009,-0.147,-0.05
BUF,2003,-0.164,-0.207,0.098,-0.137,-0.073,-0.297,-0.245,-0.341,-0.292,-0.161
BAL,2003,-0.098,0.334,-0.153,-0.159,-0.071,-0.376,-0.011,-0.474,-0.268,-0.127
ATL,2003,-0.136,0.08,0.136,0.012,0.06,0.036,-0.411,-0.377,-0.247,-0.093
ARI,2003,-0.326,-0.132,-0.186,-0.112,-0.137,-0.071,-0.203,-0.13,-0.133,-0.215
WAS,2002,-0.065,-0.179,-0.339,0.049,-0.118,-0.117,-0.063,0.253,-0.007,-0.07
TEN,2002,0.065,0.208,0.158,0.038,0.11,0.194,-0.592,0.688,0.074,0.083
TB,2002,-0.073,-0.242,0.118,-0.187,-0.088,0.028,-0.142,0.598,0.109,-0.038
STL,2002,-0.058,-0.176,0.231,-0.153,-0.031,-0.113,0.104,-1.136,-0.31,-0.102
SF,2002,0.134,0.175,-0.041,-0.012,0.014,0.29,0.85,0.438,0.542,0.192
SEA,2002,0.213,0.06,-0.141,0.088,0.009,-0.013,0.1,-0.324,-0.065,0.081
SD,2002,0.027,0.255,-0.043,-0.088,0.003,-0.064,-0.03,0.194,0.026,0.018
PIT,2002,0.054,-0.09,0.158,-0.022,0.023,-0.085,0.464,0.056,0.153,0.066
PHI,2002,-0.138,0.247,0.034,0.45,0.274,0.064,0.015,0.281,0.098,0.067
OAK,2002,0.212,0.13,0.043,0.351,0.176,0.222,0.148,0.768,0.319,0.22
NYJ,2002,0.098,0.523,0.238,0.384,0.348,-0.222,-0.028,0.688,0.08,0.18
NYG,2002,0.023,-0.006,0.066,0.128,0.081,0.041,0.04,-0.116,-0.006,0.038
NO,2002,-0.062,0.058,-0.12,-0.022,-0.039,0.111,0.061,-0.258,-0.019,-0.044
NE,2002,-0.012,0.122,0.276,-0.057,0.099,0.001,0.323,0.263,0.172,0.072
MIN,2002,0.016,-0.313,0.117,0.038,0.004,0.002,-0.084,0.148,0.012,0.011
MIA,2002,0.174,-0.295,0.079,0.184,0.043,0.029,-0.128,-0.436,-0.126,0.066
KC,2002,0.381,0.301,0.291,0.576,0.415,0.279,-0.043,0.421,0.18,0.354
JAC,2002,0.171,0.223,-0.082,-0.169,-0.083,-0.041,0.292,0.143,0.146,0.078
IND,2002,-0.121,-0.062,0.091,0.064,0.055,-0.043,0.371,0.069,0.144,0.003
HOU,2002,-0.403,-0.29,-0.398,-0.266,-0.307,0.07,-0.649,-1.359,-0.705,-0.433
GB,2002,0.137,-0.038,-0.128,0.103,-0.004,0.016,-0.328,0.052,-0.113,0.03
DET,2002,-0.252,-0.624,0.039,-0.175,-0.196,-0.303,-0.669,-0.054,-0.314,-0.248
DEN,2002,0.168,0.261,0.331,0.121,0.232,0.178,-0.017,-0.115,0.047,0.166
DAL,2002,-0.23,0.075,-0.012,-0.319,-0.15,-0.616,-0.61,0.009,-0.429,-0.245
CLE,2002,-0.09,-0.29,-0.331,0.083,-0.122,0.049,0.218,-0.183,0.075,-0.062
CIN,2002,0,0.173,0.026,-0.025,0.031,0.02,-0.183,-0.716,-0.245,-0.048
CHI,2002,-0.134,-0.161,0.145,-0.4,-0.138,-0.095,-0.007,-0.45,-0.151,-0.139
CAR,2002,-0.061,-0.048,-0.573,-0.212,-0.279,-0.398,-0.546,-0.761,-0.583,-0.252
BUF,2002,0.022,-0.052,-0.036,-0.128,-0.079,0.164,-0.094,0.375,0.127,0.009
BAL,2002,-0.084,-0.016,-0.286,-0.112,-0.161,0.019,0.072,0.341,0.128,-0.061
ATL,2002,-0.067,0.089,-0.248,0.088,-0.011,-0.011,0.117,0.605,0.228,0.016
ARI,2002,-0.192,-0.375,-0.21,-0.21,-0.234,-0.01,0.17,0.34,0.156,-0.123
WAS,2001,-0.094,-0.413,0.06,-0.107,-0.106,-0.015,0.061,-0.698,-0.161,-0.115
TEN,2001,-0.062,-0.348,0.286,0.182,0.138,-0.186,0.664,0.184,0.238,0.076
TB,2001,-0.081,-0.13,0.131,0.339,0.189,-0.097,0.128,-0.207,-0.021,0.029
STL,2001,0.107,0.144,0.266,0.09,0.162,0.313,0.52,0.699,0.487,0.205
SF,2001,0.176,0.22,0.159,0.297,0.231,0.334,0.032,0.453,0.239,0.21
SEA,2001,0.027,0.014,-0.286,0.001,-0.092,-0.011,0.065,0.577,0.172,0.016
SD,2001,0.113,-0.497,0.201,-0.149,-0.088,-0.069,0.171,-0.395,-0.085,0
PIT,2001,0.034,-0.013,0.009,0.137,0.068,0.185,0.476,0.899,0.469,0.147
PHI,2001,0.075,0.02,0.102,-0.141,-0.031,-0.316,0.169,0.372,0.037,0.029
OAK,2001,0.12,0.24,0.175,0.425,0.29,0.014,0.139,0.219,0.104,0.18
NYJ,2001,0.166,0.311,-0.013,-0.492,-0.197,0.105,0.068,0.39,0.164,0.041
NYG,2001,0.1,-0.429,-0.149,0.091,-0.068,0.147,-0.099,-0.388,-0.083,0.002
NO,2001,-0.041,-0.08,-0.072,-0.033,-0.051,-0.333,-0.19,0.143,-0.142,-0.068
NE,2001,0.079,0.152,-0.122,0.177,0.072,0.096,0.189,-0.918,-0.102,0.034
MIN,2001,-0.047,0.121,-0.193,-0.12,-0.102,0.158,-0.161,0.116,0.048,-0.045
MIA,2001,-0.025,-0.138,-0.158,-0.211,-0.179,0.015,0.04,0.638,0.169,-0.032
KC,2001,0.096,0.232,-0.003,0.237,0.158,0.267,-0.177,0.237,0.061,0.111
JAC,2001,-0.019,-0.367,0.227,-0.086,-0.048,-0.094,-0.187,0.648,0.031,-0.019
IND,2001,0.111,-0.076,0.058,-0.081,-0.033,0.428,-0.202,0.213,0.151,0.069
GB,2001,0.01,-0.072,0.223,0.242,0.182,0.345,-0.586,0.498,0.083,0.085
DET,2001,-0.061,0.112,-0.241,-0.092,-0.1,0.01,-0.283,-0.495,-0.245,-0.117
DEN,2001,-0.01,-0.053,-0.095,0.141,0.022,0.087,-0.293,0.366,0.019,0.008
DAL,2001,-0.047,-0.331,-0.04,-0.368,-0.258,-0.403,-0.094,-0.067,-0.193,-0.152
CLE,2001,-0.255,0.061,-0.177,-0.065,-0.081,-0.093,-0.049,-0.799,-0.262,-0.198
CIN,2001,-0.176,0.374,-0.307,-0.074,-0.055,-0.289,0.064,-0.087,-0.091,-0.115
CHI,2001,0.113,0.213,0.096,-0.105,0.024,-0.182,-0.212,-0.452,-0.257,-0.007
CAR,2001,-0.223,-0.127,-0.139,-0.251,-0.189,-0.558,-0.144,-0.841,-0.465,-0.267
BUF,2001,0.052,0.376,-0.301,-0.17,-0.099,0.148,0.026,-0.742,-0.136,-0.044
BAL,2001,-0.035,-0.097,0.085,-0.015,0.002,0.037,-0.104,-1.034,-0.255,-0.07
ATL,2001,-0.15,-0.163,-0.111,-0.261,-0.2,-0.178,-0.254,0.855,0.065,-0.115
ARI,2001,-0.108,0.467,0.01,0.451,0.305,0.061,-0.187,0.077,-0.025,0.052
WAS,2000,-0.007,-0.12,-0.13,0.209,0.043,0.024,0.242,0.068,0.127,0.038
TEN,2000,0.071,-0.193,-0.394,-0.075,-0.193,-0.279,0.117,0.905,0.219,0.009
TB,2000,0.075,0.011,0.313,-0.058,0.081,-0.242,-0.206,0.261,-0.07,0.047
STL,2000,0.262,0.6,0.106,0.246,0.243,0.516,0.163,0.338,0.323,0.267
SF,2000,0.053,0.088,0.254,0.5,0.339,0.473,0.056,0.138,0.223,0.188
SEA,2000,-0.126,-0.061,-0.017,-0.192,-0.115,-0.016,0.435,0.316,0.219,-0.047
SD,2000,-0.325,0.053,-0.069,-0.246,-0.148,0.131,-0.356,-0.771,-0.321,-0.262
PIT,2000,0.08,-0.12,0.201,0.202,0.145,-0.111,-0.317,0.51,-0.024,0.079
PHI,2000,-0.021,0.104,-0.402,0.015,-0.092,0.249,0.074,0.427,0.228,0.009
OAK,2000,0.033,0.353,-0.078,0.532,0.306,0.351,0.193,0.147,0.238,0.173
NYJ,2000,-0.055,0.004,0.016,0.007,0.009,0.058,0.253,-0.078,0.085,-0.001
NYG,2000,-0.039,0.421,0.181,0.226,0.238,0.09,0.029,0.189,0.099,0.089
NO,2000,-0.049,-0.033,0.176,-0.008,0.038,0.178,-0.457,0.31,-0.021,-0.013
NE,2000,-0.059,0.174,-0.226,0.209,0.076,-0.04,-0.204,-0.383,-0.175,-0.044
MIN,2000,0.145,0.04,0.229,0.2,0.18,0.087,0.388,0.377,0.274,0.185
MIA,2000,0.092,0.038,0.061,-0.078,-0.009,-0.202,-0.018,-0.473,-0.198,-0.012
KC,2000,0.197,0.124,0.322,-0.041,0.086,0.454,-0.302,0.128,0.051,0.129
JAC,2000,0.06,-0.087,-0.098,0.019,-0.039,-0.024,0.093,0.907,0.241,0.066
IND,2000,0.311,0.053,0.185,0.24,0.177,0.385,0.321,0.172,0.308,0.264
GB,2000,0.025,-0.098,0.04,-0.071,-0.041,0.164,0.419,-0.039,0.19,0.037
DET,2000,-0.132,0.102,0.137,-0.246,-0.058,-0.323,-0.319,-0.478,-0.37,-0.162
DEN,2000,0.109,0.37,0.093,0.437,0.304,-0.175,0.225,0.867,0.197,0.196
DAL,2000,-0.057,0.013,-0.121,-0.086,-0.076,-0.252,-0.218,-0.329,-0.259,-0.109
CLE,2000,-0.252,-0.323,-0.133,-0.454,-0.327,-0.056,-0.224,-0.743,-0.313,-0.293
CIN,2000,-0.093,0.049,-0.316,-0.439,-0.327,-0.059,-0.066,-0.543,-0.231,-0.204
CHI,2000,-0.024,0.063,-0.288,0.117,-0.017,-0.255,-0.342,-0.236,-0.282,-0.086
CAR,2000,-0.197,-0.419,-0.143,-0.374,-0.312,-0.038,-0.009,0.431,0.098,-0.176
BUF,2000,0.135,-0.342,0.038,0.1,-0.007,-0.21,0.124,-0.166,-0.09,0.035
BAL,2000,-0.211,0.1,0.123,0.106,0.11,-0.366,0.274,-0.49,-0.15,-0.081
ATL,2000,-0.161,-0.233,-0.193,-0.561,-0.383,-0.319,0.005,-1.018,-0.433,-0.296
ARI,2000,-0.017,-0.591,-0.144,-0.573,-0.43,0.039,-0.404,-0.059,-0.156,-0.196
WAS,1999,0.251,0.197,0.245,0.367,0.291,0.164,-0.41,0.583,0.061,0.224
TEN,1999,0.182,0.328,0.104,0.057,0.128,0.225,0.461,0.039,0.259,0.179
TB,1999,-0.179,-0.331,-0.003,0.033,-0.061,0.123,0.142,-0.461,-0.032,-0.102
STL,1999,0.118,0.399,-0.074,0.108,0.115,0.048,0.496,0.758,0.409,0.177
SF,1999,0.103,0.107,0.061,-0.059,0.016,-0.233,-0.374,-0.303,-0.302,-0.017
SEA,1999,0.004,-0.088,0.005,-0.083,-0.057,0.074,-0.15,-0.088,-0.055,-0.03
SD,1999,-0.13,-0.127,-0.316,-0.303,-0.288,0.354,-0.619,0.059,-0.127,-0.185
PIT,1999,-0.107,0.03,0.168,-0.304,-0.075,-0.113,0.2,0.282,0.089,-0.05
PHI,1999,-0.308,-0.178,-0.227,-0.153,-0.177,-0.003,-0.15,-0.377,-0.167,-0.229
OAK,1999,0.091,-0.269,0.297,0.443,0.275,0.214,0.543,0.155,0.327,0.205
NYJ,1999,-0.047,0.086,-0.02,0.155,0.085,-0.237,0.463,0.227,0.117,0.038
NYG,1999,0.006,-0.256,-0.101,-0.094,-0.132,-0.028,-0.219,-0.09,-0.108,-0.068
NO,1999,-0.229,-0.166,-0.475,-0.155,-0.264,-0.219,-0.438,-0.073,-0.24,-0.243
NE,1999,-0.159,-0.274,0.068,0.105,0.034,-0.005,-0.026,-0.255,-0.08,-0.075
MIN,1999,0.117,0.043,-0.126,0.162,0.046,0.297,-0.22,0.678,0.219,0.117
MIA,1999,-0.027,0.16,0.032,-0.162,-0.048,-0.241,-0.176,-0.117,-0.182,-0.069
KC,1999,0.07,0.142,0.109,-0.065,0.022,0.163,0.568,0.667,0.429,0.14
JAC,1999,0.083,0.261,0.36,0.157,0.24,-0.086,-0.24,0.304,-0.033,0.114
IND,1999,0.153,0.226,0.011,0.166,0.137,-0.044,0.156,0.268,0.127,0.142
GB,1999,0.074,0.203,-0.243,0.173,0.045,-0.182,-0.132,0.74,0.152,0.079
DET,1999,0.027,-0.409,-0.121,-0.136,-0.175,0.161,0.566,-0.182,0.188,-0.006
DEN,1999,0.095,-0.041,0.08,-0.143,-0.051,-0.062,0.155,0.087,0.047,0.034
DAL,1999,-0.008,0.127,0.097,0.073,0.091,0.102,0.22,-0.056,0.098,0.05
CLE,1999,-0.128,0.035,0.056,0.041,0.045,-0.004,-0.204,-0.839,-0.322,-0.114
CIN,1999,-0.056,-0.075,-0.302,-0.142,-0.171,0.195,-0.202,-0.249,-0.07,-0.097
CHI,1999,-0.006,-0.21,-0.227,0.047,-0.101,0.061,-0.08,0.031,-0.003,-0.039
CAR,1999,0.116,0.068,0.253,0.111,0.144,-0.707,0.184,0.625,0.009,0.103
BUF,1999,0.037,0.055,0.179,0.148,0.147,0.296,0.472,-0.119,0.264,0.127
BAL,1999,-0.007,-0.058,-0.101,-0.096,-0.09,-0.181,-0.756,-0.485,-0.471,-0.136
ATL,1999,-0.064,0.034,0.033,-0.056,-0.01,-0.352,-0.185,-0.498,-0.344,-0.105
ARI,1999,-0.211,-0.023,-0.201,-0.254,-0.197,-0.041,-0.099,-0.912,-0.315,-0.229
WAS,1998,0.199,0.216,0.057,-0.349,-0.134,0.084,0.137,-0.819,-0.223,-0.003
TEN,1998,0.013,-0.104,0.286,0.145,0.125,-0.008,0.621,0.469,0.357,0.123
TB,1998,-0.092,0.21,-0.226,-0.055,-0.066,0.277,0.008,-0.635,-0.059,-0.075
STL,1998,-0.168,-0.048,0.01,-0.268,-0.135,0.049,0.041,-0.355,-0.068,-0.134
SF,1998,0.263,-0.053,0.423,0.346,0.291,0.256,0.652,0.055,0.344,0.288
SEA,1998,-0.018,0.318,0.088,-0.043,0.068,-0.156,-0.336,-1.256,-0.571,-0.104
SD,1998,-0.312,0.188,-0.021,-0.685,-0.323,0.25,-0.191,-0.118,-0.027,-0.254
PIT,1998,-0.055,0.001,-0.057,-0.388,-0.191,0.043,0.111,0.234,0.123,-0.064
PHI,1998,-0.199,-0.337,-0.312,-0.057,-0.174,-0.106,-0.183,-0.927,-0.368,-0.231
OAK,1998,-0.173,-0.182,0.073,-0.32,-0.178,-0.328,-0.994,-0.078,-0.485,-0.242
NYJ,1998,-0.027,0.147,0.012,0.292,0.179,0.156,0.67,1.016,0.572,0.177
NYG,1998,-0.135,0.087,-0.002,-0.016,0.003,-0.055,-0.361,-0.129,-0.182,-0.095
NO,1998,-0.222,-0.075,-0.536,-0.207,-0.261,-0.169,-0.35,-0.117,-0.213,-0.233
NE,1998,0.078,-0.393,-0.063,-0.095,-0.138,-0.046,0.17,-0.004,0.048,-0.001
MIN,1998,0.26,-0.124,-0.22,0.373,0.08,0.175,0.105,1.202,0.447,0.236
MIA,1998,-0.084,0.305,-0.127,0.238,0.126,-0.301,0.039,0.236,-0.008,0.008
KC,1998,0.105,0.168,-0.147,-0.036,-0.035,0.124,-0.369,-0.516,-0.233,-0.023
JAC,1998,0.025,0.158,-0.032,0.064,0.056,0.134,0.284,0.52,0.296,0.096
IND,1998,0.028,-0.111,0.245,0.149,0.124,-0.451,-0.113,-0.248,-0.28,-0.005
GB,1998,-0.124,-0.218,0.295,0.011,0.061,-0.022,0.633,1.177,0.459,0.067
DET,1998,-0.1,-0.028,-0.375,0.126,-0.047,-0.449,-0.153,0.739,-0.019,-0.063
DEN,1998,0.478,0.116,0.073,0.402,0.233,0.441,-0.392,0.904,0.26,0.345
DAL,1998,0.115,0.274,0.189,0.084,0.156,0.123,-0.112,0.65,0.191,0.146
CIN,1998,0.042,0.034,-0.081,-0.094,-0.067,-0.111,-0.219,0.001,-0.123,-0.036
CHI,1998,0.056,0.059,-0.108,-0.118,-0.085,-0.048,-0.254,-0.172,-0.162,-0.046
CAR,1998,-0.163,-0.334,-0.134,0.119,-0.04,0.054,0.361,-0.415,0.022,-0.077
BUF,1998,0.131,0.078,0.242,0.185,0.184,0.143,0.138,1.064,0.337,0.194
BAL,1998,-0.028,-0.383,0.056,0.017,-0.026,-0.178,0.218,-0.879,-0.226,-0.073
ATL,1998,0.036,-0.136,0.117,0.416,0.234,-0.107,0.049,-0.49,-0.154,0.064
ARI,1998,-0.036,-0.068,-0.067,-0.178,-0.121,0.043,-0.032,-0.069,-0.014,-0.061
WAS,1997,-0.012,0.054,0.019,-0.284,-0.131,0.037,0.023,0.985,0.361,0.024
TEN,1997,-0.099,-0.024,0.106,0.146,0.103,0.066,0.55,-0.177,0.208,0.044
TB,1997,-0.017,-0.008,0.062,-0.239,-0.096,0.272,-0.019,0.564,0.236,0.014
STL,1997,-0.108,-0.292,-0.228,-0.269,-0.261,-0.281,0.119,0.044,-0.029,-0.146
SF,1997,-0.019,0.141,0.317,0.198,0.228,0.1,-0.156,-0.23,-0.089,0.055
SEA,1997,0.158,-0.283,-0.103,-0.047,-0.118,-0.145,-0.138,0.353,-0.003,0.03
SD,1997,-0.25,-0.021,-0.378,-0.455,-0.357,0.007,-0.184,-0.508,-0.23,-0.283
PIT,1997,-0.024,0.155,0.327,0.248,0.257,0.29,0.503,-0.317,0.22,0.129
PHI,1997,0.079,-0.038,0.029,-0.193,-0.09,0.167,-0.128,0.075,0.043,0.012
OAK,1997,0.027,-0.096,-0.347,0.143,-0.036,-0.294,0.021,0.198,-0.029,-0.007
NYJ,1997,-0.122,0.169,0.28,-0.14,0.022,0.173,-0.21,0.372,0.108,-0.02
NYG,1997,0.044,0.311,-0.217,-0.115,-0.078,0.013,-0.053,-0.55,-0.178,-0.049
NO,1997,-0.169,-0.366,-0.798,-0.476,-0.542,-0.194,-0.586,-0.616,-0.437,-0.356
NE,1997,-0.001,-0.185,0.227,0.165,0.123,0.266,0.192,-0.192,0.122,0.072
MIN,1997,0.159,-0.049,0.03,0.137,0.065,0.157,0.16,-0.412,0.013,0.091
MIA,1997,0.064,0.18,0.224,0.262,0.233,-0.147,-0.17,0.858,0.04,0.116
KC,1997,0.116,-0.008,0.182,0.329,0.218,-0.097,-0.037,0.28,0.028,0.133
JAC,1997,0.256,0.159,0.281,0.538,0.369,-0.161,0.219,-0.194,-0.068,0.227
IND,1997,-0.04,-0.071,0.02,-0.374,-0.176,-0.363,0.022,0.422,-0.053,-0.091
GB,1997,0.112,-0.037,0.018,0.458,0.226,0.302,0.145,-0.143,0.131,0.155
DET,1997,0.08,0.216,-0.184,0.275,0.126,-0.01,-0.391,-0.051,-0.158,0.042
DEN,1997,0.078,0.436,0.255,0.302,0.316,0.042,0.023,0.838,0.217,0.194
DAL,1997,0.079,-0.25,-0.154,0.048,-0.069,-0.335,0.154,-0.24,-0.104,-0.015
CIN,1997,0.111,-0.111,0.104,0.335,0.185,0.303,0.52,-0.157,0.286,0.176
CHI,1997,-0.157,-0.237,-0.174,-0.168,-0.181,-0.064,0.386,-0.524,-0.038,-0.136
CAR,1997,-0.184,-0.048,0.05,-0.146,-0.057,0.299,0.058,-0.234,0.059,-0.082
BUF,1997,-0.122,0.2,-0.072,-0.126,-0.038,-0.248,-0.774,-0.612,-0.543,-0.18
BAL,1997,0.011,-0.058,-0.036,0.151,0.042,0.035,-0.063,-0.012,-0.005,0.018
