Team,f_3yr_avg,off_f_3yr_avg,def_f_3yr_avg,st_f_3yr_avg,s_p_3yr_avg,fei_3yr_avg,f_yr3,off_f_yr3,def_f_yr3,st_f_yr3,s_p_yr3,fei_yr3,f2013,rnk_2012,rnk_2013,act_2013
Marshall,-0.119,-0.043333333,-0.056,-0.019666667,191.1666667,-0.117,-0.087,0.069,-0.133,-0.023,198.1,-0.106,-0.118366703,82,95,52
Washington State,-0.166666667,-0.059666667,-0.094333333,-0.012333333,179,-0.116333333,-0.166,-0.106,-0.039,-0.021,180,-0.134,-0.108528542,98,93,53
Pittsburgh,0.088333333,0.024,0.057333333,0.007333333,213.6333333,0.106333333,0.06,0.018,0.037,0.005,206.8,0.065,0.06354471,51,40,54
Minnesota,-0.110666667,-0.037333333,-0.060666667,-0.012333333,188.5,-0.089,-0.075,-0.064,-0.001,-0.01,191.8,-0.051,-0.059893066,79,79,55
Indiana,-0.127666667,0.005333333,-0.120666667,-0.012,181.8333333,-0.102666667,-0.065,0.049,-0.122,0.009,189,-0.036,-0.078227163,74,83,56
Ball State,-0.129,-0.039333333,-0.106666667,0.016333333,184.5,-0.118333333,-0.005,0.032,-0.074,0.036,204.7,-0.033,-0.033098539,64,69,57
Navy,-0.060666667,0.049666667,-0.097333333,-0.012666667,197.0333333,-0.023,-0.165,-0.059,-0.116,0.01,187.1,-0.153,-0.040554491,97,73,58
Northwestern,0.021333333,0.048,-0.043,0.016333333,201.1,0.046,0.129,0.058,0.034,0.037,215.1,0.143,0.100797912,29,28,59
Northern Illinois,0.086333333,0.080666667,-0.005333333,0.010666667,221.1333333,0.063333333,0.119,0.053,0.046,0.02,223.6,0.092,0.110808019,33,26,60
Penn State,0.093333333,-0.012,0.102333333,0.002666667,223.2666667,0.066,0.15,0.038,0.125,-0.014,230.9,0.121,0.083410403,25,32,61
Toledo,-0.003,0.014666667,-0.014333333,-0.003,208.1333333,-0.005666667,0.023,0.013,-0.008,0.018,201.2,0.02,0.032771064,54,51,62
Maryland,-0.049666667,-0.054333333,0.011,-0.006333333,192.6333333,-0.007333333,-0.109,-0.132,0.023,0,180.4,-0.079,-0.047750756,86,76,63
Cincinnati,0.101666667,0.064333333,0.032333333,0.005,212.8,0.095666667,0.144,0.062,0.082,0,213.4,0.146,0.083638508,26,31,64
Boston College,-0.050333333,-0.08,0.023666667,0.006666667,192.2666667,-0.021666667,-0.111,-0.068,-0.055,0.013,183.7,-0.099,-0.081838833,88,85,65
Colorado State,-0.249666667,-0.132,-0.111,-0.006666667,172.3,-0.235666667,-0.247,-0.149,-0.108,0.01,175.3,-0.258,-0.190050322,116,114,66
Rice,-0.15,-0.074666667,-0.093666667,0.017666667,182.4666667,-0.136666667,-0.109,-0.058,-0.077,0.025,189.2,-0.074,-0.091110734,87,89,69
Tulane,-0.227666667,-0.110666667,-0.088333333,-0.028333333,170.3,-0.186,-0.207,-0.116,-0.098,0.007,173.3,-0.197,-0.161952915,110,110,70
Illinois,-0.023,-0.082,0.076666667,-0.017666667,205.1333333,-0.022666667,-0.193,-0.142,-0.025,-0.026,174.3,-0.162,-0.122735156,107,100,71
Tennessee,0.014,0.025666667,0,-0.011,211.4333333,0.000666667,0.008,0.074,-0.064,-0.001,212.3,0.001,-0.00438618,57,65,72
Florida Atlantic,-0.227333333,-0.137333333,-0.074,-0.016333333,167.2666667,-0.184333333,-0.218,-0.11,-0.106,-0.002,173.7,-0.17,-0.195292397,114,116,73
San Jose State,-0.072,-0.042333333,-0.028666667,-0.000666667,195.6,-0.065,0.121,0.074,0.04,0.008,229.6,0.087,0.0325157,32,52,74
Syracuse,0.015,0.010333333,0.016666667,-0.011666667,200.3,0.065,0.102,0.09,0.021,-0.008,212.2,0.132,0.05464618,37,42,75
West Virginia,0.142333333,0.094333333,0.060333333,-0.013333333,226.9,0.135333333,0.066,0.11,-0.024,-0.021,217.2,0.046,0.062307989,47,41,76
Western Kentucky,-0.113333333,-0.061666667,-0.044333333,-0.007,184.1,-0.072333333,-0.047,-0.041,-0.003,-0.002,198.9,-0.03,-0.052620539,70,78,77
Iowa State,-0.039,-0.047666667,0.003333333,0.005666667,194.2,0.000333333,0.022,-0.02,0.03,0.012,202.4,0.082,0.011915231,55,59,78
Virginia,-0.057333333,-0.028333333,-0.003666667,-0.025666667,195.0333333,-0.043,-0.088,-0.061,0.02,-0.048,195.1,-0.065,-0.085658107,83,87,79
Buffalo,-0.192,-0.118,-0.047333333,-0.027,177.7,-0.150333333,-0.153,-0.102,-0.012,-0.039,186.1,-0.114,-0.142261432,92,105,80
Wake Forest,-0.125666667,-0.058,-0.05,-0.018,182.5,-0.099333333,-0.191,-0.117,-0.042,-0.032,174.9,-0.152,-0.151886947,106,108,81
Hawaii,-0.105,-0.052333333,-0.057333333,0.004666667,196.1333333,-0.110666667,-0.254,-0.192,-0.079,0.017,163.5,-0.239,-0.121292508,118,98,82
Memphis,-0.280333333,-0.164666667,-0.108333333,-0.007,159.9666667,-0.22,-0.157,-0.126,-0.053,0.023,176.6,-0.125,-0.143729319,95,106,83
SMU,-0.018333333,-0.024,0.014666667,-0.009333333,209.5333333,-0.037666667,-0.047,-0.068,0.008,0.012,200.5,-0.056,-0.011582809,69,67,84
Middle Tennessee,-0.188666667,-0.091666667,-0.101,0.004,174.7666667,-0.155333333,-0.16,-0.063,-0.127,0.03,185,-0.119,-0.1271362,96,102,85
UL-Lafayette,-0.080666667,-0.011666667,-0.057666667,-0.011,193.1666667,-0.087,0.004,0.049,-0.046,0.002,210.3,-0.052,-0.044671065,60,75,86
Arkansas,0.162666667,0.121333333,0.037333333,0.004,233.3666667,0.129666667,0.004,0.049,-0.027,-0.017,215,-0.032,0.049142523,59,45,87
Nevada,0.021666667,0.083666667,-0.051333333,-0.010666667,216.7,0.017333333,-0.053,0.071,-0.125,0.001,199.4,-0.024,0.009508581,71,60,88
San Diego State,0.050333333,0.028666667,0.022,0,212.4666667,0.027,0.075,0.012,0.052,0.011,217.4,0.052,0.046417313,44,46,89
Arkansas State,0.004333333,0.018333333,-0.000333333,-0.014,210.2666667,-0.002,0.051,0.083,0.007,-0.04,224.7,0.046,0.004732797,53,63,90
Rutgers,0.038333333,-0.059333333,0.089,0.008333333,199.5666667,0.066333333,0.096,-0.054,0.151,-0.001,215.3,0.1,0.04044715,40,48,91
N.C. State,0.057333333,-0.001333333,0.062666667,-0.004333333,208.3,0.085333333,-0.002,-0.03,0.029,-0.001,204.1,0.009,0.021459508,63,56,92
Connecticut,0,-0.075,0.059,0.015666667,199.0666667,0.023,0,-0.101,0.092,0.009,199.8,-0.017,0.002571795,61,64,93
Tulsa,0.065333333,0.029333333,0.027,0.009,219.3333333,0.04,0.087,0.001,0.089,-0.003,219.4,0.08,0.071762388,42,37,94
Colorado,-0.211333333,-0.068,-0.110333333,-0.032333333,177.3666667,-0.172333333,-0.36,-0.146,-0.167,-0.046,153.6,-0.261,-0.241790926,120,119,95
UNLV,-0.264333333,-0.128,-0.131,-0.005,165.5,-0.247666667,-0.177,-0.077,-0.094,-0.007,177,-0.156,-0.191530799,102,115,96
Kentucky,-0.100666667,-0.053,-0.047,0,191.5333333,-0.065333333,-0.21,-0.079,-0.126,-0.004,182.2,-0.163,-0.118706472,111,96,97
Temple,-0.011,-0.012666667,-0.016333333,0.018,205.2,-0.015333333,-0.1,-0.034,-0.09,0.024,183.7,-0.091,-0.043653783,84,74,98
South Florida,0.033666667,-0.003666667,0.042,-0.004,206.7666667,0.049666667,-0.062,-0.016,-0.033,-0.013,197,-0.047,-0.034041239,73,70,99
